Q: Why couldn't the blonde add 10 and seven on a calculator?,A: She couldn't find the 10 key.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What's it called when a blonde blows in another blonde's ear?,A: Data transfer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'd like to see what's under your Kuiper Belt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What did one computer say to the other?,1.01011E+19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: How can you tell a blonde's been using the computer?,A: There's white-out all over the screen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft's Latest Venture, News just in of Microsoft's latest,venture: Microsoft Corporation has taken another step toward dominating every aspect of,American life with the introduction of Contraceptive98[COMMA] a suite of applications designed,for users who engage in sex.,Microsoft has been a pioneer in peer-to-peer connectivity and plug and play., It believes these technologies will,give it substantial leverage in penetrating the copulation enhancement market.,The product addresses two important user concerns: the need for virus protection and the need for a firewall to ensure the non-propagation of human beings., The Contraceptive98 suite consists,of three products: Condom98[COMMA] DeFetus 1.0 (from Sementec)[COMMA] and AIDScan 2.1 (from Norton,Utilities).,A free copy of Intercourse Explorer 4.0 is bundled in the package.,The suite,also comes in two expanded versions.,Contraceptive98 Professional is the Client/Server,edition[COMMA] for professionals in the sexual services sector.,Contraceptive98 Small Business,Edition is a package for startups[COMMA] aimed at the housewife and gigolo niches., While Contraceptive98 does not address nontraditional copulatory channels[COMMA] future plug-ins are planned for next year., OPERATION: Only one node in a,peer-to-peer connection needs to install the package., At installation[COMMA] the Condom98,software checks for minimum hardware.,If the user meets the requirements[COMMA] the product,installs and is sufficiently scaleable to meet most requirements.,After installation[COMMA],operation commences.,One precaution is that the user must be sure they have sufficient RAM to complete the session.,When the session is complete[COMMA] a disconnect is initiated[COMMA] and the user gets the message[COMMA] it is now safe to turn off your partner., DRAWBACKS: Usability testers report that frequent failures were a major concern during beta testing.,General Protection Fault was the most serious error encountered.,Early versions had numerous bugs[COMMA] but most of these have been eliminated.,The product needs to be installed each time its used., CONCLUSION: Contraceptive98 is a,robust product.,Despite its drawbacks[COMMA] it is reasonably good value for its $49.95 price,tag[COMMA] and is far superior to its shareware version.,Hopefully[COMMA] future releases (of the,software[COMMA] that is) will add missing functionality[COMMA] such as Backout and Restore[COMMA],uninterruptible Power Supply and Onboard Camera., Microsoft CEO Bill Gates is optimistic that ,Our contraceptive products will help users do to each other what we've been doing to our customers for years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My sniffer wants to decode your packet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where do the characters go when I use my backspace or delete them on my PC?, ,ANSWER: The characters go to different places[COMMA] depending on whom you ask:,The Buddhist explanation: If a character has lived rightly[COMMA] and its karma,is good[COMMA] then after it has been deleted it will be reincarnated as a different[COMMA] higher character.,Those funny characters above the numbers on,your keyboard will become numbers[COMMA] numbers will become letters[COMMA] and lower-case letters will become upper-case.,The 20th-century bitter cynical nihilist explanation: Who cares?,It doesn't really matter if they're on the page[COMMA] deleted[COMMA] undeleted[COMMA] underlined[COMMA] etc.,It's all the same.,The Mac user's explanation: All the characters written on a PC and then,deleted go to straight to PC hell.,If you're using a PC[COMMA] you can probably see the deleted characters[COMMA] because you're in PC hell also.,Stephen King's explanation: Every time you hit the (Del) key you unleash a tiny monster inside the cursor[COMMA] who tears the poor[COMMA] unsuspecting characters to shreds[COMMA] drinks their blood[COMMA] then eats them[COMMA] bones and all., Hah[COMMA] hah[COMMA] hah!,The Christian Church's approach to characters: The nice characters go to,Heaven[COMMA] where they are bathed in the light of happiness.,The naughty characters are punished for their sins.,"Naughty characters are those involved in the creation of naughty words[COMMA] such as ""breast[COMMA]"" ""sex[COMMA]"" and contraception."" ",Dave Barry's explanation: The deleted characters are shipped to Battle Creek[COMMA] Michigan[COMMA] where they're made into Pop-Tart filling; this explains why Pop-Tarts are so flammable[COMMA] while cheap imitations are not flammable., I'm not making this up.,IBM's explanation: The characters are not real.,They exist only on the screen when they are needed[COMMA] as concepts[COMMA] so to delete them is merely to de-conceptualize them.,Get a life.,PETA's (People for the Ethical Treatment of Animals) explanation: You've,been DELETING them???,Can't you hear them SCREAMING???,Why don't you go CLUB some BABY SEALS while wearing a MINK[COMMA] you pig!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What did Mr.,Spock find in the toilet?,The Captain's log!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-- You haven't played solitaire with a real deck of cards in years.,-- You have a list of 20 phone numbers to reach five people.,-- You chat several times a day with a Nigerian prince over e-mail[COMMA] but you couldn't name your neighbor.,"-- When paying a cashier[COMMA] you only know how to respond to ""credit or debit"" -- what the hell is ""cash""?","-- You think ""music in the air"" refers to free downloads.",-- You lose touch with any family member who doesn't have an email address.,#NAME?,#NAME?,"- A ""half day"" means leaving at 5 p.m.",-- You find jokes on computers[COMMA] not in books or word of mouth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Although I have not been programmed to break any existing laws[COMMA] I am a thief and I am here to steal your heart.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you get when you cross a hooker with a systems engineer?,A fuckin' know-it-all!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why was the blonde late for work?,A: She was stranded on the broken escalator.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you were a tear in my eye[COMMA] I would not cry for fear of losing you.,Of course[COMMA] I am not capable of crying.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A man walks into a bar and sits down right across from the bartender.,The bartender sees the man poking at his hand and putting it next to his ear[COMMA] and asks him[COMMA],"What are you doing?!, ,The man replies[COMMA] Oh[COMMA] it's the newest technology -- I have a phone built right into my hand.""",The man puts his hand next to the bartender's ear and[COMMA] sure enough[COMMA] the bartender hears a dial tone., ,After a few drinks[COMMA] the man goes into the bathroom.,The bartender notices that he has been gone for almost a half-hour.,Concerned[COMMA] he goes into the bathroom to check it out.,When he walks in[COMMA] he sees the man with his hands on the wall standing with his legs apart and pants down.,He has the end of a roll of paper towels shoved up his butt.,"Shocked[COMMA] the bartender yells[COMMA] ""What are you doing?!"" ","The man groans and replies[COMMA] ""I'm waiting for a fax.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can I tinker with your laptop?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486:00:00, The average IQ needed to understand a PC.,State-of-the-art:, Any computer you can't afford.,Obsolete:, Any computer you own.,Microsecond: ,The time it takes for your state-of-the-art computer to become obsolete.,G3:, Apple's new Macs that make you say 'Gee[COMMA] three times faster than the computer I bought for the same price a Microsecond ago.' ,Syntax Error:," Walking into a computer store and saying[COMMA] ""Hi[COMMA] I want to buy a computer and money is no object.""",Hard Drive: ,The sales technique employed by computer salesmen[COMMA] esp.,after a Syntax Error.,GUI:, What your computer becomes after spilling your coffee on it.,(pronounced 'gooey') ,Keyboard:, The standard way to generate computer errors.,Mouse:, An advanced input device to make computer errors easier to generate.,Floppy:, The state of your wallet after purchasing a computer.,Portable Computer:, A device invented to force businessmen to work at home[COMMA] on vacation[COMMA] and on business trips.,Disk Crash: ,A typical computer response to any critical deadline.,Power User: ,Anyone who can format a disk from DOS.,System Update: ,A quick method of trashing ALL of your software.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,Universe halted.,#NAME?,It just develops random features.,-- Definition of an upgrade: old bugs out[COMMA] new ones in.,-- C:\> Bad command or file name!, Go stand in the corner.,"-- Why doesn't it ever say ""EXCELLENT command or filename""?",-- As a computer[COMMA] I find your faith in technology amusing.,-- Southern DOS: Y'all reckon?,(Yep/Nope),#NAME?,-- >File not found.,Should I fake it?,(Y/N),#NAME?,#NAME?,-- A computer's attention span is as long as it's power cord.,#NAME?,#NAME?,#NAME?,#NAME?,-- Go ahead[COMMA] make my data.,#NAME?,-- Enter any 11-digit prime number to continue.,-- ASCII stupid question[COMMA] get a stupid ANSI.,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backup - What you do when you run across a skunk in the woods.,Bug - The reason you give for calling in sick.,Byte - What your pitbull done to cousin Jethro.,Chip - Pasture muffins that you try not to step in.,Terminal - Time to call the undertaker.,Crash - When you go to Junior's party uninvited.,Digital - The art of counting on your fingers.,Diskette - Female Disco dancer.,Fax - What you lie about to the IRS.,Hacker - Uncle Leroy after 32 years of smoking.,Hardcopy - Picture looked at when selecting tattoos.,Internet - Where cafeteria workers put their hair.,Keyboard - Where you hang the keys to the John Deere.,Mac - Big Bubba's favorite fast food.,Megahertz - How your head feels after 17 beers.,Modem - What you do when the grass gets too high.,Mouse Pad - Where Mickey and Minnie live.,Network - Scooping up a big fish before it breaks the line.,ROM - Where the pope lives.,Screen - Keeps mosquitoes off the porch.,Serial Port - A red wine you drink with breakfast.,Superconductor - Amtrak's Employee of the year.,SCSI (pronounced scuzzi) - What you call your week-old underwear.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A French maid was tidying up for a wealthy computer whiz., She commented that he had a nice PC.," He looked frustrated and said[COMMA] ""Yeah[COMMA] it's top of the line[COMMA] but I can't seem to get any programs to start up."," You wouldn't happen to know how these gizmos work[COMMA] do you?""","She replied[COMMA] ""I'm sorry monsieur[COMMA] I would love to help you[COMMA] but oh la la[COMMA] I don't do Windows!"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What do you get when you mix a rooster with a telephone pole?, A: A 30-foot cock that helps you reach out and touch someone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An elderly lady phoned her telephone company to report that her telephone failed to ring when her friends called - and that on the few occasions when it did ring[COMMA] her pet dog always moaned right before the phone rang.,The telephone repairman proceeded to the scene[COMMA] curious to see this psychic dog or senile elderly lady.,He climbed a nearby telephone pole[COMMA] hooked in his test set[COMMA] and dialed the subscriber's house.,The phone didn't ring right away[COMMA] but then the dog moaned loudly and the telephone began to ring.,Climbing down from the pole[COMMA] the telephone repairman found:,1,The dog was tied to the telephone system's ground wire via a steel chain and collar.,2,The wire connection to the ground rod was loose.,3,The dog was receiving 90 volts of signaling current when the phone number was called.,4,After a couple of such jolts[COMMA] the dog would start moaning and then urinate on himself and the ground.,5,The wet ground would complete the circuit[COMMA] thus causing the phone ,to ring.,Which demonstrates that some problems CAN be fixed by pissing and ,moaning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A lawyer[COMMA] an engineer and a mathematician were called in for a test.,The engineer went in first and was asked[COMMA] ''''What is 2+2?'''' The engineer thought awhile and finally answered[COMMA] ''''4.'''', , Then the mathemetician was called in and was asked the same question.,With little thought he replied[COMMA] ''''4.0'''',Then the lawyer was called in[COMMA] and was asked the same question.,The lawyer answered even quicker than the mathematician[COMMA] ''''What do you want it to be?'''',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'd like to do a usability test of your backend.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have something that needs beta testing.,It's in my pants.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The robots will probably adopt that song as their anthem[COMMA] and they'll sing it to themselves as they take over the world[COMMA] crushing humans under their silicone heels.,And they will install Cher as their android goddess because[COMMA] by then[COMMA] she'll be mostly plastic and wire anyways.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who invented the first computer in Biblical Times?, ,Eve -- she had an Apple in one hand and a Wang in the other!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We'd go together like a monomer and reaction initialiser.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do Microsoft and a halter top have in common?, ,Both offer very little support!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Your eyes are a deep shade of a recessive genetic trait.,I like that.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As a computer[COMMA] I find your faith in technology amusing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did you hear about the new Mike Tyson Computer?, ,It has two bytes and no memory.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Did you hear about the new computer upgrade for erectile dysfunction?,"A: It turns your 3.5"" floppy into a hard drive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My hard drive upgrades every time I look at you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My mission?,A straight shot to Uranus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A woman arrives at the Pearly Gates and finds St.,Peter is not there[COMMA] but a computer terminal is sitting next to the arch.,"She walks up to it and sees[COMMA] ""Welcome to www.Heaven.com.","Please enter your User ID and Password to continue."" ",She doesn't have either[COMMA] but underneath the fields is a small line reading:,"Forgot your ID or Password?,Click Here. So she does.","Up pops a screen that reads[COMMA] ""Please enter at least two of the following[COMMA] and your pasword and ID will be e-mailed to you.""","The fields included ""Name[COMMA]"" ""Date of birth[COMMA]"" ""Date of death[COMMA]"" and ""Favorite Food.""","The woman enters her name and date of birth[COMMA] and clicks ""Submit.""","Up pops another screen that reads[COMMA] ""We are sorry[COMMA] we did not find a match in our database.","Would you like to register?"" So the woman clicks the button marked ""Yes.""",A long and detailed form appears on the screen[COMMA] and the woman spends some time filling it out.,"Then she clicks the ""Submit"" button.","Now she is faced with a screen reading[COMMA] ""We are sorry[COMMA] this service is temporarily unavailable.","Please try again later.""","There is a button marked ""Back."" She clicks it.",A new page appears.,"It reads[COMMA] ""Welcome to www.Purgatory.com."," Please enter your User ID and Password to continue...""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monica Lewinsky virus: Sucks all the memory out of your,computer.,Ronald Reagan virus: Saves your data[COMMA] but, forgets where it is stored.,Mike Tyson, virus: Quits after one byte.,Oprah Winfrey, virus: Your 200MB hard drive suddenly shrinks to,80MB[COMMA], and then slowly expands to 300MB.,Lorena Bobbit, virus: Turns your hard disk into a 3.5 inch floppy.,Dr., Jack Kevorkian virus: Searches your hard drive for old files, and,deletes them.,Ellen Degeneres virus: Your IBM suddenly,claims it's a MAC.,Titanic virus: Makes your, whole computer go down.,Disney, virus: Everything in the computer goes Goofy.,Prozac, virus: Screws up your RAM, but your processor,doesn't care.,Sharon Stone, virus: Makes a huge initial impact[COMMA] then you forget,it's, there.,Tim Allen virus: Appears helpful[COMMA] only to destroy your hard drive,upon contact.,HBO, virus: Runs the same programs over and over[COMMA] week,after week after week.,Woody Allen, virus: Bypasses the motherboard and turns on,a.,daughter card.,NFL Blackout virus: Will, only let you run progams on a,remote terminal that's more than 75, miles away.,Linda Tripp virus: Makes copies of your, personal files and forwards,them to the authorities.,Bill Clinton, virus: Won't let you query the system for,information., Rush,Limbaugh virus: Biases everything, to the right.,Ken Starr virus: Expands a focused, search of a specific file,into a global interregation of every, existing file.,Creates links between unrelated,data., Works extremely,slow while searching and compiling results.,Al Gore, virus: Runs quietly in background mode, but,doesn't appear to really do much of anything.,Saddam Hussein, virus: Won't let you into any of your programs.,Tonya, Harding virus: Turns your,BAT files into lethal weapons.,George Michael virus: Runs its course[COMMA], occasionally releasing excess data,buildup.,Joey Buttafuoco, virus: Only attacks minor files.,Jerry Seinfeld, virus: Program about nothing that exits, when,you're really enjoying it.,David Caruso NYPD Blue virus: , After running successfully for a while[COMMA] it exits,the program it was in,and never works again.,Pee Wee Herman virus: Exposes your,confidential files to everyone.,X-files, virus: All your Icons start, shape shifting.,Spice Girl virus: Has no real, function[COMMA] but makes a pretty,desktop.,AT&amp;T, virus: Every 3 minutes it tells you what great,service you are getting.,Arnold Schwarzenegger, virus: Terminates and stays resident.,It'll be back.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A man was mowing his lawn when he heard his neighbor[COMMA] who happened to be a blonde[COMMA] come out of her house.,She opened her mailbox[COMMA] looked inside and slammed it shut.,She stomped her foot and went back inside.,The man thought ''how weird.'' ,A few minutes passed and sure enough[COMMA] the blonde came out of her house again[COMMA] checked her mail box[COMMA] stamped her foot and went back inside.,The man stopped mowing and checked her mailbox to see what was so wrong with it.,After seeing nothing[COMMA] he went back to mowing just shrugging his shoulders.,As soon as he heard her coming out again[COMMA] he shut off his mowing machine and went up to her.,''What in the world are you doing[COMMA] coming out here every five minutes?'' ,The blonde looked up at the man and said[COMMA] ''Well[COMMA] you see[COMMA] there's this little voice in my house that keeps on saying[COMMA] 'You've got mail[COMMA]' but when I come out here to check[COMMA] I don't have any.'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blonde: ""Doc[COMMA] you've gotta help me.","I keep hearing voices.""","Doc: ""When are you hearing these voices?""","Blonde: ""When I'm on the telephone.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What is the difference between sex and computers?,A: With computers[COMMA] the software goes into the hardware.,With sex[COMMA] the hardware goes into the software.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How is a computer like Britney Spears?,They're both cheap[COMMA] white[COMMA] and plastic.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$ Michael Jordan having ,retired[COMMA],with $40 million in endorsements[COMMA] makes $178[COMMA]100 a day[COMMA] working or not.,$ If he sleeps 7 hours a night[COMMA] he makes,$52[COMMA]000 every night while visions of sugarplums dance in his head.,$ If he goes to see a movie[COMMA] it'll cost him,$7.00[COMMA] but he'll make $18[COMMA]550 while he's there.,$ If he decides to have a 5 minute egg[COMMA] he'll,make $618 while boiling it.,$ He makes $7[COMMA]415/hr more than minimum wage.,$ He'll make $3[COMMA]710 while watching each,episode of Friends.,$ If he wanted to save up for a new Acura NSX,($90[COMMA]000) it would take him a whole 12 hours.,$ If someone were to hand him his salary and,endorsement money[COMMA] they would have to do it at the rate of $2.00 every second.,$ He'll probably pay around $200 for a nice,round of golf[COMMA] but will be reimbursed $33[COMMA]390 for that round.,$ Assuming he puts the federal maximum of 15%,of his income into a tax deferred account (401k)[COMMA] his contributions will hit the federal,cap of $9500 at 8:30 a.m.,on January 1st.,$ If you were given a penny for every 10,dollars he made[COMMA] you 'd be living comfortably at $65[COMMA]000 a year.,$ He'll make about $19.60 while watching the,100 meter dash in the Olympics[COMMA] and about $15[COMMA]600 during the Boston Marathon.,$ While the common person is spending about,$20 for a meal in his trendy Chicago restaurant[COMMA] he'll pull in about $5600.,$ This year[COMMA] he'll make more than twice as,much as all U.S.,past presidents for all of their terms combined.,Amazing isn't it?, However...,$ If Jordan saves 100% of his income for the,next 450 years[COMMA] he'll still have less than Bill Gates has today.,$$$ Game over., Nerd wins.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What's the difference between mechanical engineers and civil engineers?,A: Mechanical engineers build weapons; civil engineers build targets.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How is a computer like an air conditioner?,When you open Windows it won't work!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I enjoy long walks away from sand and water.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can I watch while you Google yourself?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What did the baby digital watch say to the mommy analog watch?,"A: ""Look Ma[COMMA] no hands!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
