You're so stupid that you had to call 411 to get the number for 911.,
Yo' Mama is so fat[COMMA] when she went whale-sighting[COMMA] the other tourists took her picture.,
Yo' Mama is so uptight[COMMA] she could stick a piece of coal up her butt and have a diamond in a week.,
Yo' Mama is so stupid[COMMA] her parents let her hide her own Easter eggs.,
Yo' Mama is so fat[COMMA] she makes Godzilla look like an action figure.,
Yo' Mama is so stupid[COMMA] she couldn't pass a urine test.,
Yo' Mama is so short[COMMA] she has to look up to see what's going down.,
Yo' Mama is so stupid[COMMA] she thought a walk-in closet came with legs.,
Yo' Mama is so stanky[COMMA] the couch gets up when she sits down.,
Yo' Mama is so stupid[COMMA] she went to a Clippers game to get a haircut.,
Yo' Mama is so fat[COMMA] she bleeds chocolate milk.,
Yo' Mama is so ugly[COMMA] when she threw a boomerang[COMMA] it wouldn't come back.,
Yo' Mama is so skinny[COMMA] she wears waders in the shower to keep from slipping down the drain.,
Yo' Mama is so old[COMMA] Cleopatra signed her high school yearbook[COMMA] [QUOTE]BFF.[QUOTE],
Yo' Mama is so ugly[COMMA] when she ran away from home[COMMA] her parents called the dog catcher.,
Yo' Mama is so old[COMMA] her teeth are like stars: they come out at night.,
Yo' Mama is so poor[COMMA] she goes to Kentucky Fried Chicken to lick other people's fingers.,
Yo' Mama is so fat[COMMA] the tag on her dress reads[COMMA] [QUOTE]Made in Hungary[COMMA] Turkey[COMMA] China[COMMA] U.S.A.[COMMA] Algeria[COMMA] Japan[COMMA] and Indonesia.[QUOTE],
Yo' Mama is so ugly[COMMA] her hairline is receding just to get away from her face.,
Yo' Mama is so stupid[COMMA] she doesn't know whether to scratch her watch or wind her butt.,
Yo' Mama is so ugly[COMMA] she walked into a haunted house and came out with a job application.,
Yo' Mama is so skinny[COMMA] she broke both legs trying to use a laptop.,
Yo' Mama is so fat[COMMA] she uses pillowcases for socks.,
Yo' Mama is so fat[COMMA] when she stepped on the scale[COMMA] it said[COMMA] [QUOTE]One at a time[COMMA] please.[QUOTE],
Yo' Mama is so fat[COMMA] she wore an [QUOTE]X-Files[QUOTE] t-shirt and a helicopter landed on her.,
Yo' Mama is so fat[COMMA] they sent out a search party to find her belly button.,
Yo' Mama is so nasty[COMMA] it takes her half an hour to walk a block because she stops at all the hydrants.,
Yo' Mama is so fat[COMMA] she gets paid to visit Sea World.,
Yo' Mama is so fat[COMMA] when fighter pilots see her[COMMA] they say[COMMA] [QUOTE]Bogie at 11[COMMA] 12[COMMA] 1[COMMA] 2[COMMA] and 3 o'clock.[QUOTE],
Yo' Mama is so poor[COMMA] she names her kids after cars she can't afford.,
Q: What's the difference between Yo' Mama and a hippo?,A: One has a big mouth and a fat ass.,The other lives in rivers in tropical countries.,
Yo' Mama is so old[COMMA] she went to an antique shop[COMMA] and they kept her.,
Yo' Mama is so nasty[COMMA] when she walks the dog[COMMA] they both use the same bush.,
Yo' Mama is so stupid[COMMA] she thinks the Wu-Tang Clan is a Japanese orange drink company.,
Yo' Mama is so ugly[COMMA] when she was born[COMMA] the doctor put her in a bucket of water to see which end would come up for air.,
Yo' Mama is so stupid[COMMA] when her batteries die[COMMA] she buries them.,
Yo' Mama is so poor[COMMA] my jack-o-lantern gets better dental work then she does.,
Yo' Mama is so bald[COMMA] her cornrows look like stitches.,
Yo' sister is so ugly[COMMA] I thought she was Yo' Mama.,
Yo' Mama is so stupid[COMMA] she tried to wake up a sleeping bag.,
Yo' Mama is so fat[COMMA] she doesn't need the Internet -- she's already worldwide.,
Yo' Mama is so fat[COMMA] when she skips a meal[COMMA] the stock market drops.,
Yo' Mama is so skanky[COMMA] she was asked to leave the OTB.,
Yo' Mama is so old[COMMA] she knew Burger King when he was a prince.,
Yo' Mama is so flat[COMMA] pirates can't wait to get their hands her a sunken chest.,
Yo' Mama is so stupid[COMMA] she smashed open her TV hoping to find a TV dinner.,
Yo' Mama is so stupid[COMMA] she voted for a pit bull wearing lipstick.,
Yo' Mama is so nasty[COMMA] when her dog farts[COMMA] she takes the credit.,
Yo mama is so stupid[COMMA] I told her Christmas was right around the corner - so she went looking for it.,
Yo' Mama is so stupid[COMMA] she called the police to report a suspicious looking person lurking in her mirror.,
Yo' mama so poor[COMMA] she fills her ice trays with toilet water!,
Yo' mama so stupid[COMMA] she told me to meet her on the corner of 'walk' and 'don't walk.',
Yo' mama got such bad dandruff[COMMA] the principal declared a snow day!,
Yo mama's so fat[COMMA] she's got more chins than a Hong Kong phonebook ,
Yo' mama so stupid[COMMA] she walked into an antique shop and asked [QUOTE]What's new?[QUOTE],
Yo' Mama is so ugly[COMMA] her dog closes its eyes when it humps her leg.,
Yo' mama's like a chipmunk[COMMA] her cheeks are always packed full of nuts!,
Your mama so nasty[COMMA] that after we had phone sex I got an ear infection!,
Yo mama's so dumb[COMMA] she stuck the phone up her ass and thought she was makin' a booty call.,
Q: What's the difference between Yo' Mama and a chicken?,A: A chicken lays eggs[COMMA] and Yo' Mama lays everything else.,
Q: What's the difference between Yo' Mama and a hotel?,A: Nothing.,They both specialize in serving out of town businessmen.,
Yo' Mama is so fat[COMMA] when she joined the army[COMMA] her nickname was [QUOTE]Trenches.[QUOTE],
Yo' Mama is like McDonald's: over 90 billion served.,
Yo' Mama is like a hardware store: 25 cents for a screw.,
Yo' Mama is like a railroad track: she gets laid all over the country.,
Yo' Mama is so stupid[COMMA] she got stabbed in a drive-by.,
Yo' Mama is so fat[COMMA] when she worked as a prostitute[COMMA] she also collected tolls.,
Q: What's the difference between Yo' Mama and a street ,A: Street walkers get more fresh air.,
Yo' Mama is like a vacuum cleaner: she sucks[COMMA] blows[COMMA] and gets rolled in the closet.,
Tell Yo' Mama to stop changing the color of her lipstick -- I got a rainbow on my d**k.,
Q: What's the difference between a pair of new jeans and Yo' Mama?,A: New jeans are always tight.,
Yo' Mama is so fat[COMMA] when she did the splits[COMMA] she gave the road a hickey.,
Yo' Mama is so fat[COMMA] when she did a cartwheel[COMMA] she kicked an angel in the nuts.,
Yo' Mama is so dumb[COMMA] she got fired from a blow job.,
Yo' Mama is so stupid[COMMA] she thought a ribbed condom was soul food.,
Yo' Mama is like marijuana -- everyone does her[COMMA] but no one admits it.,
Yo' Mama is like an elevator[COMMA] you push the right button and she goes right down.,
Yo' Mama is so fat[COMMA] she masturbates to a naked picture of Chef Boyardee.,
Yo' Mama is so hairy[COMMA] she has afros on her nipples.,
Yo' Mama is so poor[COMMA] if yo' daddy doesn't have a hard-on Christmas morning[COMMA] she gets nothing to play with.,
Yo' Mama is so stupid[COMMA] when her boss told her to take her ugly ass home[COMMA] she came back 10 minutes later without her ass.,
Yo' Mama is so fat[COMMA] after she and yo' daddy are through having sex[COMMA] he has to roll over twice just to get off her.,
Yo' Mama is so fat[COMMA] when you tell her to move her fat ass[COMMA] she has to move one cheek at a time.,
Yo' Mama is so stupid[COMMA] she thought masturbation was a karate teacher.,
Yo' Mama is so poor[COMMA] the last time she had a hot meal was when a rich man farted.,
Yo' Mama is so fat[COMMA] she gets turned on reading a cook book.,
Yo' Mama is so dirty[COMMA] they won't even use her bath water for waterboarding.,
Yo' Mama is so ugly[COMMA] her face looks like a horse's ass flapping in the breeze.,
Yo' Mama is like a virus[COMMA] if she spreads[COMMA] we're all screwed.,
Yo' Mama is so ugly[COMMA] when she was born[COMMA] her mama called her a treasure[COMMA] so her daddy offered to bury her.,
Yo' Mama is so fat[COMMA] politicians fight over redistricting her ass.,
Yo' Mama is so fat[COMMA] she uses a mattress for a maxipad.,
Yo' Mama is so flat[COMMA] she tattooed [QUOTE]Front[QUOTE] on her chest.,
Yo' Mama is so stupid[COMMA] she gave her neighbor a blow job because she thought it would help his unemployment.,
Yo' Mama is like a shotgun: one cock[COMMA] and she's ready to blow.,
Yo' Mama is so poor[COMMA] she rolls her own tampons.,
Yo' Mama is like a fast food: full of fat and only a buck.,
Yo' Mama is so fat[COMMA] she's got more crack than a drug dealer.,
Yo' Mama is so skanky[COMMA] she could sell her spit to a sperm bank.,
Q: What sexual positions make the ugliest babies?,A: I don't know -- ask Yo' Mama.,
Yo' Mama is like a pool table: put in 50 cents and she'll rack your balls.,
Yo' Mama is so hairy[COMMA] her breasts look like coconuts.,
Yo' Mama is so ugly[COMMA] her face looks like her neck took a crap on her shoulders.,
Yo' Mama is so fat[COMMA] when she bent over[COMMA] a couch and three chairs came out.,
Yo' Mama is so fat[COMMA] she gets her dildos from NASA.,
Yo' Mama is like a heavyweight boxer: a few licks[COMMA] a few blows[COMMA] and she's back to her corner.,
Yo' Mama is like a donkey: everybody rides the ass.,
Yo' Mama is so ugly[COMMA] she can only grow hair on her nuts.,
Yo' Mama is so stupid[COMMA] she asked if her drug test was multiple choice.,
Yo' Mama is so ugly[COMMA] she's going to be in trouble when the baboon wants its ass back.,
Yo' Mama is like a telephone book: available to the public[COMMA] no charge.,
Yo' Mama is like a television: even an old man can turn her on.,
Yo' Mama is so hairy[COMMA] she has to part the hair on her butt to go to the bathroom.,
Yo' Mama is so fat[COMMA] she puts in tampons with a bazooka.,
Yo' Mama is so skinny[COMMA] her nipples touch.,
Q: How is Yo' Mama like the New York Jets?,A: You give them a quarter[COMMA] and they'll let you score.,
Yo' Mama is so skanky[COMMA] her crabs ride dune buggies.,
Yo' Mama is so nasty[COMMA] her mouth is like an Almond Joy bar -- full of nuts.,
Yo' Mama is so ugly[COMMA] her vibrator went soft.,
Yo' Mama is so fat[COMMA] after God said[COMMA] [QUOTE]Let there be light[COMMA][QUOTE] he had to push her fat ass over to make it happen.,
Yo' Mama is like a brick: always getting laid.,
Yo' Mama is like an elephant: she does tricks for peanuts.,
Yo' Mama is so fat[COMMA] when I screwed her[COMMA] I burnt my ass on the light bulb.,
Yo' Mama is so stupid[COMMA] she got fired from a sperm bank for drinking on the job.,
Yo' Mama is so nasty[COMMA] her vagina's in the Axis of Evil.,
Yo mama's so fat[COMMA] her ass looks like two pigs fighting over a milk dud.,
Yo' Mama is so fat[COMMA] you have to slap her thigh and ride the wave in to have sex with her.,
Yo' Mama is like a door knob: everybody gets a turn.,
Yo' Mama is like a hockey player[COMMA] she doesn't change her pad for three periods.,
Yo' Mama is so nasty[COMMA] Red Lobster kicked her out for bringing her own crabs.,
Yo' Mama is so stupid[COMMA] she invented a ventilated condom.,
Yo' Mama is so nasty[COMMA] her crabs use her tampon string as a getaway rope.,
Yo' Mama is so fat[COMMA] yo' daddy is still climbing back off.,
Yo' Mama is so poor[COMMA] she strips at Chuck E.,Cheese for tokens.,
Yo' Mama is so nasty[COMMA] I asked what was for dinner[COMMA] she spread her legs and said[COMMA] [QUOTE]Tuna surprise.[QUOTE],
Yo' Mama so ugly[COMMA] when she wore cheese panties[COMMA] even the rats wouldn't eat her.,
Yo' Mama is so ugly[COMMA] the only difference between her face and a bag of crap is the bag.,
Q: What's the difference between Yo' Mama and a dartboard?,A: Yo' Mama's had more pricks.,
Yo' Mama is so nasty[COMMA] she can sit on a lollipop and guess its flavor.,
Yo' Mama is so fat[COMMA] when she farts[COMMA] it comes out at the ankles of her tight-ass jeans.,
Yo' Mama is so hairy[COMMA] when she gave birth[COMMA] you got rug burn.,
Yo' Mama is so old[COMMA] when I slapped her on the back[COMMA] her boobs fell off.,
Yo' Mama is so short[COMMA] she has to cuff up her panties.,
Yo' Mama is so old[COMMA] when she was born[COMMA] the Dead Sea was just getting sick.,
Yo' Mama is so stupid[COMMA] she smashed open her TV hoping to find a TV dinner.,
Yo' Mama is so ugly[COMMA] her shadow runs away from her.,
Yo' Mama is so fat[COMMA] her cereal bowl comes with a lifeguard.,
Yo mama's so ugly[COMMA] she made a blind kid cry.,
Yo' Mama is so fat[COMMA] her body parts sleep in shifts.,
Yo' Mama is so stupid[COMMA] she can't pour water from a pitcher with instructions on the bottom.,
Yo' Mama is so stupid[COMMA] she got hit by a parked car.,
Yo' Mama is so stupid[COMMA] she told you that Yo' Mama be stupid.,
Yo' Mama is so stupid[COMMA] she tripped over a cordless phone.,
Yo' Mama is so stupid[COMMA] her favorite color is clear.,
Yo' Mama is like a beached whale: stinky and tragic[COMMA] but you can't help but stare.,
Yo' Mama is so fat[COMMA] she makes Richard Simmons lose his enthusiasm.,
Yo' Mama is so dirty[COMMA] plants grow out her butt.,
Yo' Mama is so stupid[COMMA] she tried to tape glue.,
Yo mama is so ghetto[COMMA] she does wheelies in her 10 speed.,
Yo Mama''so fat she was on Jerry Springer and Ricky Lake at the same time.,
Yo mama's so fat[COMMA] she went out in high heels and came back in flip flops.,
Yo mama's so stupid[COMMA] she thought [QUOTE]Dunkin' Donuts[QUOTE] was a basketball team.,
Yo' Mama is so stupid[COMMA] she threw a baseball at Batman.,
Yo' Mama is so fat[COMMA] when she bent over[COMMA] they found Jimmy Hoffa.,
Yo' Mama is so hairy[COMMA] Tarzan couldn't get through her bush.,
Yo' Mama is so stupid[COMMA] she thinks Bill Gates is another name for toll booths.,
Yo' Mama is so fat[COMMA] she leaves stretch marks in the bath tub.,
Yo' Mama is so ugly[COMMA] she stuck her face in cookie dough and made gorilla cookies.,
Yo' Mama is so stupid[COMMA] she thought [QUOTE]harass[QUOTE] was two words.,
Yo' Mama is so old[COMMA] she remembers the Grand Canyon as a ditch.,
Yo' Mama is so stupid[COMMA] she thinks Limp Bizkit is a medical condition.,
Yo' Mama is so stupid[COMMA] she put a stamp on a fax.,
Yo' Mama is so ugly[COMMA] when she looks up[COMMA] it starts to rain.,
Yo' Mama is so fat[COMMA] she can't fit in a chat room.,
Yo' Mama is so nasty[COMMA] her farts are classified as biological weapons.,
Yo' daddy is so fat the only train he can travel is the GRAVY TRAIN.,
Yo mama's so fat[COMMA] Godzilla tried to f**k her and fell in.,
Yo' Mama is so short[COMMA] she has to pole vault into bed at night.,
Yo' Mama is so ugly[COMMA] even the Boogie Man won't hide under her bed.,
Yo' Mama is so stupid[COMMA] she has a glass door with a peephole.,
Yo' Mama is so stupid[COMMA] she thought fruit punch was a gay boxer.,
Yo mama's so fat that when she sees a school bus she yells[COMMA] [QUOTE]Stop that Twinkie![QUOTE],
Yo Mama is so ugly when she was kidnapped her mother sent the kidnappers a thank you card!,
Yo' mama so fat[COMMA] she wore corduroys and smoothed out the ridges!,
Your Mama's so fat that when she went to school she sat next to the whole class!,
Yo mama's so poor[COMMA] I saw her walking down the street with only one shoe on.,I said[COMMA] ''Hey[COMMA] Mrs Jones[COMMA] you've lost a shoe[COMMA]'' and she said ''No[COMMA] it's alright[COMMA] I found one''.,
Yo' Mama is so stupid[COMMA] when she hit rock bottom[COMMA] she started to dig.,
Yo' Mama is so ghetto[COMMA] her rims cost more than her car.,
Yo' Mama is so poor[COMMA] when she goes to the park[COMMA] ducks throw her bread.,
Yo' Mama is so poor[COMMA] her car came with a kickstand.,
Yo' Mama is so dumb[COMMA] if her brains were farts[COMMA] there wouldn't be enough to stink.,
Yo' Mama is so stupid[COMMA] she put a penny in a gumball machine and waited for change.,
Yo' Mama is so dirty[COMMA] her teachers gave her A's just for not raising her hand.,
Yo' Mama is so fat[COMMA] she once got stuck between the North and South Pole.,
Yo mama's so sorry she missed your birthday last week[COMMA] she bought you a cake so big you gotta eat it twice to have it once!,
Yo' Mama's so nasty[COMMA] they filmed [QUOTE]Crocodile Dundee[QUOTE] in her footbath.,
Yo' Mama is so stupid[COMMA] God put an I.O.U.,on her head.,
Yo' Mama is so nasty[COMMA] she uses bacon as bandages.,
Yo' Mama is so ugly[COMMA] they use her face to make animal crackers.,
Yo' Mama is so dumb[COMMA] she failed a pregnancy test.,
Yo' Mama is so stupid[COMMA] her brainstorms are more like drizzles.,
Yo' Mama is so fat[COMMA] when she goes to the beach[COMMA] she's the only one who gets a tan.,
Yo' Mama is so ugly[COMMA] when she was a kid[COMMA] cats tried to bury her in the sandbox.,
Yo' Mama is so ugly[COMMA] she has to sneak up on the mirror.,
Yo' Mama is so stupid[COMMA] she put lipstick on her forehead to make up her mind.,
Yo' Mama is so nasty[COMMA] the sign in the front yard says[COMMA] [QUOTE]Beware of Mama.[QUOTE],
Yo' Mama's teeth are so big[COMMA] she stabs herself in the chest whenever she sneezes.,
Yo' Mama is so fat[COMMA] she has to wear snowshoes on dry land.,
Yo' Mama is like a saint -- a St.,Bernard.,
Yo' Mama is so stupid[COMMA] she saw a sign that said[COMMA] [QUOTE]Airport Left[COMMA][QUOTE] so she turned around and went home.,
Yo' Mama is so ghetto[COMMA] she puts food stamps in a money clip.,
Yo' Mama is so poor[COMMA] when she went to take a bath[COMMA] the roaches made her wait her turn.,
Yo' Mama is so fat[COMMA] her panty lines look like a road map.,
Yo' Mama is so poor[COMMA] she calls trash days [QUOTE]clearance sales.[QUOTE],
Yo' Mama is so stupid[COMMA] she thought asphalt was a rectal disorder.,
Yo' Mama is so poor[COMMA] I threw a rock through her window and hit everyone inside.,
Yo' Mama is so stupid[COMMA] she put a TV dinner in the VCR.,
Yo' Mama is so fat[COMMA] her kneecaps smile.,
Yo' Mama is so short[COMMA] she's the last one to know when it rains.,
Yo' Mama's teeth are so gapped[COMMA] she uses a gate for braces.,
Yo' Mama is so fat[COMMA] she falls out of bed on both sides.,
Yo mama's so polite[COMMA] she once held the door for a week!,
Yo' Mama's breath is so nasty[COMMA] she could clear a chat room.,
Yo' Mama's so old[COMMA] when she breast feeds[COMMA] powdered milk comes out.,
Yo' Mama is so short[COMMA] she could sit on a dime and swing her legs.,
Yo' Mama is so stupid[COMMA] she needs a recipe to boil water.,
Yo' Mama is so bald[COMMA] she has to use rice for rollers.,
Yo' Mama is so stanky[COMMA] she vacuums her sheets instead of washing them.,
Yo' Mama is so ugly[COMMA] she makes the mice scream and jump up on chairs.,
Yo' Mama is so fat[COMMA] when she was born[COMMA] the doctor announced twins.,
Yo' Mama is so poor[COMMA] she washes paper plates.,
Yo' Mama is so nasty[COMMA] when I asked what was for dinner[COMMA] she took off her shoe and said[COMMA] [QUOTE]Corns.[QUOTE],
Yo' Mama is so skinny[COMMA] she can jump through her a**hole.,
Yo' Mama is so stupid[COMMA] she couldn't find a needle in a needle stack.,
Knock knock.,Who's there?,Sham.,Sham who?,No[COMMA] not Yo' Mama.,
Yo' Mama is so stupid[COMMA] she bought a solar powered flashlight.,
Yo' Mama is so redneck[COMMA] Costco is her favorite city.,
Yo' Mama is so fat[COMMA] when she walks in high heels[COMMA] she strikes oil.,
Yo' Mama is so stupid[COMMA] she sold her car for gas money.,
Yo' Mama is so stupid[COMMA] she thinks Tupac Shakur is a Jewish holiday.,
Yo' Mama is so fat[COMMA] 401K is her bra size.,
Yo' Mama is so stupid[COMMA] she went up to a cow and asked for 2%.,
Yo mama's so fat[COMMA] she uses a semi-trailer as a, couch.,
Yo mama is so fat that when she asked[COMMA] [QUOTE]Why is the grass always greener on the other side?[QUOTE] everyone replied[COMMA] [QUOTE]'Cause you aren't standing on it.[QUOTE],
Yo' mama so old[COMMA] she took her driver's test on a T-Rex!,
Yo' mama so fat[COMMA] she's on both sides of the family!,
Yo mama is so fat[COMMA] her picture fell off the wall!,
Yo' mama so stupid[COMMA] she sold her car for gas money.,
Yo' mama so stupid[COMMA] she climbed over a glass wall to see what was on the other side.,
Yo' mama so ugly[COMMA] they give her an extra 364 days for Halloween!,
Yo' mama so stupid[COMMA] when they said the drinks were on the house[COMMA] she went up to the roof.,
Yo' mama so fat[COMMA] she uses a VCR as a beeper!,
Your mama's so ugly[COMMA] she laid down to take a beauty nap and slipped into a coma.,
Yo' mama so ugly[COMMA] she scares blind kids away.,
Your mama's so fat she went on an airplane and it turned into a boat.,
Yo' mama so stupid[COMMA] she bought a glass door with a peephole.,
Your mama's cooking is so bad[COMMA] that,the flies pitched in to fix the screen door.,
Yo' mama so stupid[COMMA] she got hit by a parked car.,
Yo' mama's lips so big[COMMA] she can whisper in her own ear.,
Yo mamma's so fat[COMMA] she tripped on 4th Avenue and landed on 12th.,
Yo' Mama is so fat[COMMA] the back of her neck looks like a package of hot dogs.,
Yo' Mama is so fat[COMMA] when she ran away[COMMA] they had to use all four sides of the milk carton.,
Yo' Mama is so fat[COMMA] when she gets in an elevator[COMMA] it HAS to go down.,
Yo' Mama is so fat[COMMA] she was born with a silver shovel in her mouth.,
Yo' Mama is so fat[COMMA] I ran around her twice and got lost.,
Yo' Mama is so fat[COMMA] she gets runs in her jeans.,
Yo' Mama is so fat[COMMA] when she goes to a restaurant[COMMA] she doesn't get a menu[COMMA] she gets an estimate.,
Yo' Mama is so fat[COMMA] when she gets her shoes shined[COMMA] she has to take the shoeshine boy's word for it.,
Yo' Mama is so fat[COMMA] she has to put her belt on with a boomerang.,
Yo' Mama is so fat[COMMA] she can't even jump to a conclusion.,
Yo' Mama is so fat[COMMA] she went to the movies and sat next to everyone.,
Yo' Mama is so fat[COMMA] she stepped on my cat's tail[COMMA] and now I call him [QUOTE]Beaver.[QUOTE],
Yo' Mama is so fat[COMMA] she makes the radio skip when she dances.,
Yo' Mama is so fat[COMMA] she's got more chins than a Chinese phone book.,
Yo' Mama is so fat[COMMA] I had to take a train and two buses just to get on her good side.,
Yo' Mama is so fat[COMMA] she looks like she's smuggling a Volkswagen.,
Yo' Mama is so fat[COMMA] she plays hopscotch like this: Mercury[COMMA] Venus[COMMA] Earth[COMMA] Mars...,..,
Yo' Mama is so ugly[COMMA] if ugliness was a record[COMMA] she would go triple platinum.,
Q: What's the difference between Yo' Mama and a blue whale?,A:,About 10 pounds.,
Yo' Mama is so stanky[COMMA] when you were born[COMMA] the doctor had to wear the oxygen mask.,
Yo' Mama is so stanky[COMMA] her Sure deodorant got confused and her Secret deodorant told on her.,
Yo' Mama is so ugly[COMMA] the last time I saw something that looked like her[COMMA] I pinned a tail on it.,
Yo' Mama is so ugly[COMMA] Yo' Daddy first met her at the pound.,
Yo' Mama is so fat[COMMA] when she walked into the all-you-can-eat buffet[COMMA] they had to install speed bumps.,
Yo' Mama is so stupid[COMMA] she put a ruler next to her bed to see how long she sleeps.,
Yo' Mama is so dumb[COMMA] the Psychic Friends only charge her half price to read her mind.,
Yo' Mama is so skinny[COMMA] she can hula-hoop with a Fruit Loop!,
Yo' Mama is so stupid[COMMA] when I asked her to turn on the TV[COMMA] she started stripping.,
Yo' Mama is so ugly[COMMA] when she looks at roadkill[COMMA] it runs away.,
Yo' Mama is so fat[COMMA] you can use her thong as a hammock.,
Yo' Mama is so stupid[COMMA] she tried to steal a free sample.,
Yo' Mama is so poor[COMMA] bath time is a a family thing.,
Yo' Mama's teeth are so yellow[COMMA] I can't believe it's not butter.,
Yo' Mama is so fat[COMMA] that when she sits around the house[COMMA] she really sits around the house.,
Yo' Mama is so fat[COMMA] she has to call Sherwin-Williams to paint her toenails.,
Yo' Mama's house is so dirty[COMMA] I had to wipe my feet before I went outside.,
Yo' Mama is so poor[COMMA] her checks bounce more than the cast of Baywatch.,
Yo' Mama is so old[COMMA] she was the only dinosaur they didn't have to animate for [QUOTE]Jurassic Park.[QUOTE],
Yo' Mama is so fat[COMMA] she steps on a dollar and makes four quarters.,
Yo' Mama is so old[COMMA] she dreams in black and white.,
Yo' Mama is so uptight[COMMA] when she farts[COMMA] only dogs can hear it.,
Yo' Mama is so dumb[COMMA] she went to the police station and said[COMMA] [QUOTE]Give me all your money![QUOTE],
Yo' Mama's cooking is so bad[COMMA] the homeless give it back.,
Yo' Mama is so fat[COMMA] yo' daddy only sees the other side of her every 4 years.,
Yo' Mama is so poor[COMMA] she's always talking about the time she almost ate at a restaurant.,
Yo' Mama is so dumb[COMMA] she went to rehab because she was hooked on phonics.,
Yo' Mama is so fat[COMMA] smaller fat women orbit around her.,
Yo' Mama is so poor[COMMA] she only goes to the grocery store for free samples.,
Yo' Mama is so fat[COMMA] she fills the bathtub before she even turns on the water.,
Yo' Mama is so ugly[COMMA] she took a beauty nap and slipped into a coma.,
Yo' Mama is so dumb[COMMA] she stuck the phone up her butt and thought she was makin' a booty call.,
Yo' Mama is so fat[COMMA] she made the centerfold in Mountain Climber Magazine.,
Yo' Mama is so ugly[COMMA] she couldn't get a date on a calendar.,
Yo' Mama is so old[COMMA] she's got a Bible autographed by Jesus.,
Yo' Mama is so dumb[COMMA] she locked her keys inside her motorcycle.,
Yo' Mama is so stupid[COMMA] she put a mirror on the TV screen so she could watch a reality show.,
Yo' Mama is so stupid[COMMA] she ate her food stamps.,
Yo' Mama is so poor[COMMA] she only gets robbed for practice.,
Yo' Mama is so fat[COMMA] she's gotta call the fire department when her hemorrhoids get inflamed.,
Yo' Mama is so stupid[COMMA] she tried to put the leftover orange juice back in the rind.,
Yo' Mama is so poor[COMMA] when she picks a booger[COMMA] she yells[COMMA] [QUOTE]Clap your hands and stomp your feet[COMMA] praise the Lord[COMMA] we got meat![QUOTE],
Yo' Mama is so ugly[COMMA] she got hauled into the dog pound for walking down the street without a license.,
Yo' Mama's breath is so nasty[COMMA] when she burps[COMMA] her teeth shiver.,
Yo' Mama is so stupid[COMMA] she thinks a quarterback is a refund.,
Yo' Mama is so ugly[COMMA] when she was born[COMMA] the doctors thought the placenta was her twin.,
Yo' Mama is so stupid[COMMA] she ate a TV dinner and choked on the antenna.,
Yo' Mama's teeth are so rotten[COMMA] her smile looks like candy corn.,
Yo' Mama is so stupid[COMMA] she thinks DNA is the National Dyslexics Association.,
Yo' Mama is so fat[COMMA] when she's on the highway[COMMA] she has to stop at the weigh station.,
Yo' Mama is such a drunk[COMMA] if it weren't for the olives in martinis[COMMA] she would starve.,
Yo' Mama is so stupid[COMMA] she stared at the orange juice carton because it said [QUOTE]concentrate.[QUOTE],
Yo' Mama is so fat[COMMA] she tried to jump rope and knocked the Earth out of orbit.,
Yo' Mama is so fat[COMMA] you need a map to pass her on the street.,
Yo' Mama is so poor[COMMA] the front door and the back door of her house are on the same hinge.,
Yo' Mama is so fat[COMMA] she uses California redwoods to pick her teeth.,
Yo' Mama is so fat[COMMA] the only pictures you have of her are satellite pictures.,
Yo' Mama is so fat[COMMA] she sprays her clothes with Pledge and walks around the house to clean.,
Yo' Mama is so fat[COMMA] the National Weather Agency assigns names to her farts.,
Yo' Mama is so fat[COMMA] she dresses like a Chevrolet and gets in free at the drive-in.,
Yo' Mama is so stupid[COMMA] she told everyone that she was [QUOTE]illegitimate[QUOTE] because she couldn't read.,
Yo' Mama is so fat[COMMA] the World Wildlife Foundation gave her a grant for her liposuction.,
Yo' Mama is so fat[COMMA] when she cut herself shaving[COMMA] gravy poured out.,
Yo' Mama is so fat[COMMA] when she fell over[COMMA] she rocked herself to sleep trying to get up again.,
Yo' Mama is so fat[COMMA] you have to grease the door frame and hold a Twinkie on the other side just to get her through.,
Yo' Mama is so fat[COMMA] she makes a parachute look like a handi-wipe.,
Yo' Mama is so fat[COMMA] she measures her weight on the Richter Scale.,
Yo' Mama is so ugly[COMMA] she makes onions cry.,
Yo' Mama is so fat[COMMA] when she left her home country[COMMA] the population dropped by 10%.,
Yo' Mama is so fat[COMMA] she won a marathon because no one could fit by her on the street.,
Yo' Mama is so stupid[COMMA] she tried to blow out a light bulb.,
Yo' Mama's teeth are so yellow[COMMA] her tonsils wear sunglasses.,
Yo' Mama is so fat[COMMA] when she wears blue[COMMA] she looks like a tidal wave.,
Yo' Mama is so stupid[COMMA] she thought Boyz II Men was a military academy.,
Yo' Mama is so fat[COMMA] it took the train conductor two hours before he could say all aboard.,
Yo' Mama is so fat[COMMA] when she wears a polka dot dress[COMMA] people play Twister.,
Yo' Mama is so old[COMMA] when I told her to act her age[COMMA] she died.,
Yo' Mama is so stupid[COMMA] she bought a video tape on how to fix your VCR.,
Yo' Mama is so fat[COMMA] she took up pages 41 - 43 in her school yearbook.,
Yo' Mama is so ugly[COMMA] yo' daddy takes her to work with him so he doesn't have to kiss her goodbye.,
Yo' Mama is so fat[COMMA] she uses duct tape for band-aids.,
